season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
3,9,8/28/2013,Ayaka Ohwaki|Gregg Turkington|Tim Heidecker,sPIniCEtY9U,195564,2299,42,Getaway,2013,2167202,4.4,90,Ethan Hawke|Selena Gomez|Jon Voight|Rebecca Budig|Paul Freeman,23108,False,2,False,5,False
3,9,8/28/2013,Ayaka Ohwaki|Gregg Turkington|Tim Heidecker,sPIniCEtY9U,195564,2299,42,One Direction: This Is Us,2013,2515086,4.2,92,Niall Horan|Zayn Malik|Liam Payne|Harry Styles|Louis Tomlinson,23429,False,0,False,5,False
3,10,9/4/2013,Gregg Turkington|Tim Heidecker,eYjQjvirrYc,176925,1480,36,Riddick,2013,1411250,6.4,119,Vin Diesel|Jordi Mollà|Matt Nable|Katee Sackhoff|Dave Bautista,153188,False,5,False,4,False
4,1,1/8/2014,Gregg Turkington|Tim Heidecker,FcY1PUpHXso,233431,1874,46,Her,2013,1798709,8.0,126,Joaquin Phoenix|Lynn Adrianna Freedman|Lisa Renee Pitts|Gabe Gomez|Chris Pratt,532413,True,5,False,5,False
4,1,1/8/2014,Gregg Turkington|Tim Heidecker,FcY1PUpHXso,233431,1874,46,Lone Survivor,2013,1091191,7.5,121,Mark Wahlberg|Taylor Kitsch|Emile Hirsch|Ben Foster|Yousuf Azami,263884,False,5,False,5,False
4,2,1/15/2014,Gregg Turkington|Tim Heidecker,K_0ljrFYE5E,188425,2190,37,Ride Along,2014,1408253,6.2,99,Ice Cube|Kevin Hart|John Leguizamo|Bruce McGill|Tika Sumpter,102215,False,5,False,5,False
4,2,1/15/2014,Gregg Turkington|Tim Heidecker,K_0ljrFYE5E,188425,2190,37,The Nut Job,2014,1821658,5.7,85,Will Arnett|Brendan Fraser|Liam Neeson|Katherine Heigl|Stephen Lang,26383,False,NA,False,NA,False
4,3,1/22/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,vUsRviInqn4,167392,1502,36,Gimme Shelter,2013,1657510,6.5,101,Rosario Dawson|Brendan Fraser|Vanessa Hudgens|James Earl Jones|Stephanie Szostak,8165,False,5,False,4,False
4,3,1/22/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,vUsRviInqn4,167392,1502,36,"I, Frankenstein",2014,1418377,5.1,92,Aaron Eckhart|Yvonne Strahovski|Miranda Otto|Bill Nighy|Jai Courtney,77917,False,5,False,5,False
4,4,1/29/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,fSazKxKzn2E,222359,2120,38,That Awkward Moment,2014,1800246,6.1,94,Zac Efron|Miles Teller|Michael B. Jordan|Imogen Poots|Mackenzie Davis,97164,False,5,False,5,False
4,4,1/29/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,fSazKxKzn2E,222359,2120,38,Labor Day,2013,1967545,6.9,111,Kate Winslet|Josh Brolin|Gattlin Griffith|Tobey Maguire|Tom Lipinski,42418,False,5,False,5,False
